广州市行政事业性收费目录_含涉企收费项目,2017-11-23 14:42:20      ,30, 0,市财政局      ,财税金融
广州市保障性住房竣工项目,2017-11-23 14:30:50      ,15, 0,市住建委      ,城市建设
广州市保障房基本建成项目,2017-11-23 14:22:41      ,10, 0,市住建委      ,城市建设
广州市国有建设用地使用权出让公告,2017-11-23 14:09:58      ,5, 0,市国资委      ,城市建设
广州市政府性基金目录清单,2017-11-23 13:02:21      ,0, 0,市财政局      ,社会发展
政府机构三公经费及会议费支出情况,2017-11-23 12:58:44      ,5, 0,市财政局      ,财税金融
广州艺术博物院主要艺术品入藏一览表,2017-11-23 12:55:34      ,5, 0,市艺术博物院      ,文体娱乐
广州艺术博物院藏品征集清单,2017-11-23 12:53:18      ,0, 0,市艺术博物院      ,文体娱乐
市属公共就业服务机构名单,2017-11-23 12:50:42      ,0, 0,市人社局      ,民生服务
广州市地税局组织收入情况_按月统计,2017-11-22 15:09:58      ,10, 0,市地税局      ,经济发展
2009至2016年广州国税税收收入统计_按年统计,2017-11-13 16:16:37      ,155, 14,市国税局      ,经济发展
1996至2008年广州国税税收收入统计_按年统计,2017-11-13 16:16:56      ,15, 6,市国税局      ,经济发展
2017年广州国税税收收入统计_按月统计,2017-11-13 16:18:43      ,25, 20,市国税局      ,经济发展
广州市国家税务局所辖区税收收入统计,2017-11-13 16:21:22      ,10, 6,市国税局      ,经济发展
广州市地税局组织收入情况_按年统计,2017-11-14 12:13:26      ,10, 17,市地税局      ,经济发展
广州市新准入电力市场交易一般用户名单,2017-11-13 16:26:45      ,5, 7,市工信委      ,资源环境
危险废物集中处置情况,2017-11-08 11:27:32      ,70, 7,市环保局      ,资源环境
机动车数量及排气污染情况,2017-11-08 11:29:19      ,35, 11,市环保局      ,资源环境
环境信访办理情况,2017-11-08 11:31:13      ,15, 9,市环保局      ,资源环境
各区环境污染控制与管理情况,2017-11-08 11:32:30      ,15, 5,市环保局      ,资源环境
广州市生态示范区建设情况,2017-11-08 14:02:39      ,10, 1,市环保局      ,资源环境
各区排污费征收情况,2017-11-08 16:05:31      ,15, 22,市环保局      ,资源环境
各区污染源自动监控情况,2017-11-08 14:07:21      ,5, 8,市环保局      ,资源环境
广州市农业面源污染及治理情况,2017-11-08 14:08:53      ,0, 1,市环保局      ,资源环境
工业燃料消耗及废气排放情况,2017-11-08 09:38:05      ,25, 9,市环保局      ,资源环境
工业废气污染物排放情况,2017-11-08 09:40:28      ,15, 1,市环保局      ,资源环境
工业固体废物处置利用排放情况,2017-11-08 09:42:21      ,0, 5,市环保局      ,资源环境
主要行业工业废水排放情况,2017-11-08 09:45:27      ,5, 3,市环保局      ,资源环境
主要行业工业废水排放及等标污染负荷分布,2017-11-08 10:03:47      ,0, 7,市环保局      ,资源环境
工业行业废气排放分布情况,2017-11-08 10:06:18      ,5, 3,市环保局      ,资源环境
工业行业废气污染物排放分布情况,2017-11-08 10:07:51      ,5, 3,市环保局      ,资源环境
工业固体废物产生行业分布情况,2017-11-08 10:10:33      ,5, 4,市环保局      ,资源环境
工业固体废物综合利用行业分布情况,2017-11-08 10:12:55      ,5, 3,市环保局      ,资源环境
城镇污水排放与处理情况,2017-11-08 10:20:09      ,0, 9,市环保局      ,资源环境
广州自来水公司收费营业网点,2017-11-01 16:47:46      ,75, 9,广州自来水公司      ,民生服务
广州自来水价格表,2017-11-01 16:49:29      ,25, 7,广州自来水公司      ,民生服务
水厂出厂水质_42项指标检测结果,2017-11-01 16:51:47      ,15, 12,广州自来水公司      ,民生服务
水厂出厂水质_106项指标检测结果,2017-11-01 16:53:28      ,10, 11,广州自来水公司      ,民生服务
供水水质综合合格率统计,2017-11-01 16:55:14      ,10, 15,广州自来水公司      ,企业服务
用户终端水质检测结果,2017-11-01 16:57:21      ,5, 5,广州自来水公司      ,民生服务
中心城区污水处理费标准,2017-10-26 15:54:23      ,130, 8,市发改委      ,财税金融
市区供水及城市煤气液化气使用情况,2017-10-26 15:56:47      ,155, 10,市环保局      ,经济发展
环境质量指标,2017-10-26 15:59:01      ,50, 10,市环保局      ,资源环境
工业用水废水排放情况,2017-10-26 16:17:53      ,40, 20,市环保局      ,经济发展
工业废水污染物排放情况,2017-10-26 16:17:44      ,30, 11,市环保局      ,经济发展
市国资委监管企业经营情况,2017-10-26 11:36:20      ,30, 21,市国资委      ,机构团体
省级新农村示范片名单,2017-10-26 10:47:15      ,45, 13,市农业局      ,农业农村
广州市农村固定观察点主管部门,2017-10-26 10:49:10      ,5, 1,市农业局      ,农业农村
广州市农业龙头企业名单,2017-10-26 10:45:26      ,30, 10,市农业局      ,农业农村
广州市第八批绿色学校_幼儿园,2017-10-24 10:51:12      ,25, 3,市环保局      ,资源环境
广州市第九批绿色学校_幼儿园,2017-10-24 10:52:33      ,10, 3,市环保局      ,资源环境
广州市第十批绿色学校名单_幼儿园,2017-10-24 10:53:51      ,5, 7,市环保局      ,资源环境
广州市第八批绿色学校_小学,2017-10-24 10:55:08      ,0, 2,市环保局      ,资源环境
广州市第九批绿色学校_小学,2017-10-24 10:56:27      ,0, 6,市环保局      ,资源环境
广州市第十批绿色学校_小学,2017-10-24 10:58:30      ,5, 2,市环保局      ,资源环境
广州市第八批绿色学校_中学,2017-10-24 11:00:02      ,0, 2,市环保局      ,资源环境
广州市第九批绿色学校_中学,2017-10-24 11:01:33      ,0, 2,市环保局      ,资源环境
广州市第十批绿色学校_中学,2017-10-24 11:04:11      ,0, 2,市环保局      ,资源环境
广州市第二批绿色学校名单_小学,2017-10-19 16:08:10      ,85, 10,市环保局      ,资源环境
广州市第一批绿色学校名单_小学,2017-10-19 16:08:28      ,25, 6,市环保局      ,资源环境
广州市第三批绿色学校名单_小学,2017-10-20 15:09:05      ,5, 1,市环保局      ,资源环境
广州市第四批绿色学校名单_小学,2017-10-19 16:11:02      ,5, 6,市环保局      ,资源环境
广州市第五批绿色学校名单_小学,2017-10-19 16:11:58      ,10, 1,市环保局      ,资源环境
广州市第六批绿色学校名单_小学,2017-10-19 16:13:12      ,0, 6,市环保局      ,资源环境
广州市第七批绿色学校名单_小学,2017-10-19 16:14:09      ,0, 1,市环保局      ,资源环境
